"Field","count","percentage","Description"
"776",1895,1.895,"ADDITIONAL PHYSICAL FORM ENTRY (R)"
"025",1890,1.89,"OVERSEAS ACQUISITION NUMBER (R)"
"074",1819,1.819,"GPO ITEM NUMBER (R)"
"520",1739,1.739,"SUMMARY, ETC. (R)"
"590",1590,1.59,"LOCAL NOTE (BK CF MP MU SE VM MX) [OBSOLETE]"
"590",1590,1.59,"RECEIPT DATE NOTE (VM) [OBSOLETE]"
"690",1584,1.584,NA
"045",1579,1.579,"TIME PERIOD OF CONTENT (NR)"
"022",1503,1.503,"INTERNATIONAL STANDARD SERIAL NUMBER (R)"
"111",1475,1.475,"MAIN ENTRY--MEETING NAME (NR)"
"060",1457,1.457,"NATIONAL LIBRARY OF MEDICINE CALL NUMBER (R)"
"072",1447,1.447,"SUBJECT CATEGORY CODE (R)"
"530",1338,1.338,"ADDITIONAL PHYSICAL FORM AVAILABLE NOTE (R)"
"019",1302,1.302,NA
"730",1289,1.289,"ADDED ENTRY--UNIFORM TITLE (R)"
"016",1237,1.237,"NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER (R)"
"630",1219,1.219,"SUBJECT ADDED ENTRY--UNIFORM TITLE (R)"
"048",1130,1.13,"NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE (R)"
"037",1111,1.111,"SOURCE OF ACQUISITION (R)"
"780",1081,1.081,"PRECEDING ENTRY (R)"
"092",1080,1.08,NA
"336",1042,1.042,"CONTENT TYPE (R)"
"337",1042,1.042,"MEDIA TYPE (R)"
"338",1033,1.033,"CARRIER TYPE (R)"
"130",987,0.987,"MAIN ENTRY--UNIFORM TITLE (NR)"
"785",971,0.971,"SUCCEEDING ENTRY (R)"
"028",963,0.963,"PUBLISHER NUMBER (R)"
"098",883,0.883,NA
"222",872,0.872,"KEY TITLE (R)"
"533",822,0.822,"REPRODUCTION NOTE (R)"
"515",758,0.758,"NUMBERING PECULIARITIES NOTE (R)"
"550",733,0.733,"ISSUING BODY NOTE (R)"
"655",705,0.705,"INDEX TERM--GENRE/FORM (R)"
"210",579,0.579,"ABBREVIATED TITLE (R)"
"088",539,0.539,"REPORT NUMBER (R)"
"580",522,0.522,"LINKING ENTRY COMPLEXITY NOTE (R)"
"711",492,0.492,"ADDED ENTRY--MEETING NAME (R)"
"070",457,0.457,"NATIONAL AGRICULTURAL LIBRARY CALL NUMBER (R)"
"012",448,0.448,NA
"029",441,0.441,NA
"752",430,0.43,"ADDED ENTRY--HIERARCHICAL PLACE NAME (R)"
"793",414,0.414,NA
"350",388,0.388,"PRICE (NR) (BK AM CF MU VM SE) [OBSOLETE]"
"830",369,0.369,"SERIES ADDED ENTRY--UNIFORM TITLE (R)"
"510",362,0.362,"CITATION/REFERENCES NOTE (R)"
"653",339,0.339,"INDEX TERM--UNCONTROLLED (R)"
"850",319,0.319,"HOLDING INSTITUTION (R)"
"321",306,0.306,"FORMER PUBLICATION FREQUENCY (R)"
"096",281,0.281,NA
"055",280,0.28,"CLASSIFICATION NUMBERS ASSIGNED IN CANADA (R)"
"024",268,0.268,"OTHER STANDARD IDENTIFIER (R)"
"247",253,0.253,"FORMER TITLE (R)"
"084",249,0.249,"OTHER CLASSIFICATION NUMBER (R)"
"263",248,0.248,"PROJECTED PUBLICATION DATE (NR)"
"265",219,0.219,"SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS (NR) [OBSOLETE]"
"030",210,0.21,"CODEN DESIGNATION (R)"
"856",202,0.202,"ELECTRONIC LOCATION AND ACCESS (R)"
"611",192,0.192,"SUBJECT ADDED ENTRY--MEETING NAME (R)"
"648",169,0.169,"SUBJECT ADDED ENTRY--CHRONOLOGICAL TERM (R)"
"051",137,0.137,"LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT (R)"
"039",131,0.131,NA
"254",126,0.126,"MUSICAL PRESENTATION STATEMENT (NR)"
"787",122,0.122,"OTHER RELATIONSHIP ENTRY (R)"
"525",118,0.118,"SUPPLEMENT NOTE (R)"
"555",117,0.117,"CUMULATIVE INDEX/FINDING AIDS NOTE (R)"
"069",104,0.104,NA
"299",102,0.102,NA
"791",101,0.101,NA
"501",100,0.1,"WITH NOTE (R)"
"536",88,0.088,"FUNDING INFORMATION NOTE (R)"
"891",82,0.082,NA
"032",73,0.073,"POSTAL REGISTRATION NUMBER (R)"
"534",68,0.068,"ORIGINAL VERSION NOTE (R)"
"775",64,0.064,"OTHER EDITION ENTRY (R)"
"079",63,0.063,NA
"810",63,0.063,"SERIES ADDED ENTRY--CORPORATE NAME (R)"
"047",62,0.062,"FORM OF MUSICAL COMPOSITION CODE (R)"
"773",62,0.062,"HOST ITEM ENTRY (R)"
"596",61,0.061,NA
"410",58,0.058,"SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME (R) [US-LOCAL]"
"772",51,0.051,"SUPPLEMENT PARENT ENTRY (R)"
"770",50,0.05,"SUPPLEMENT/SPECIAL ISSUE ENTRY (R)"
"306",47,0.047,"PLAYING TIME (NR)"
"799",47,0.047,NA
"255",41,0.041,"CARTOGRAPHIC MATHEMATICAL DATA (R)"
"561",40,0.04,"OWNERSHIP AND CUSTODIAL HISTORY (R)"
"583",40,0.04,"ACTION NOTE (R)"
"059",38,0.038,NA
"080",36,0.036,"UNIVERSAL DECIMAL CLASSIFICATION NUMBER (R)"
"599",36,0.036,NA
"034",34,0.034,"CODED CARTOGRAPHIC MATHEMATICAL DATA (R)"
"052",33,0.033,"GEOGRAPHIC CLASSIFICATION (R)"
"046",32,0.032,"SPECIAL CODED DATES (R)"
"541",31,0.031,"IMMEDIATE SOURCE OF ACQUISITION NOTE (R)"
"242",30,0.03,"TRANSLATION OF TITLE BY CATALOGING AGENCY (R)"
"503",25,0.025,"BIBLIOGRAPHIC HISTORY NOTE (R) (BK CF MU) [OBSOLETE]"
"540",25,0.025,"TERMS GOVERNING USE AND REPRODUCTION NOTE (R)"
"027",24,0.024,"STANDARD TECHNICAL REPORT NUMBER (R)"
"760",23,0.023,"MAIN SERIES ENTRY (R)"
"586",22,0.022,"AWARDS NOTE (R)"
"899",22,0.022,NA
"506",21,0.021,"RESTRICTIONS ON ACCESS NOTE (R)"
"797",20,0.02,NA
"547",18,0.018,"FORMER TITLE COMPLEXITY NOTE (R)"
"777",18,0.018,"ISSUED WITH ENTRY (R)"
"521",17,0.017,"TARGET AUDIENCE NOTE (R)"
"588",17,0.017,"SOURCE OF DESCRIPTION NOTE (R)"
"212",16,0.016,"VARIANT ACCESS TITLE (R) [OBSOLETE]"
"691",15,0.015,NA
"699",14,0.014,NA
"866",14,0.014,"TEXTUAL HOLDINGS--BASIC BIBLIOGRAPHIC UNIT (R)"
"570",10,0.01,"EDITOR NOTE (SE) (R) [OBSOLETE]"
"513",9,0.009,"TYPE OF REPORT AND PERIOD COVERED NOTE (R)"
"765",9,0.009,"ORIGINAL LANGUAGE ENTRY (R)"
"840",9,0.009,"SERIES ADDED ENTRY--TITLE (R) [OBSOLETE]"
"790",6,0.006,NA
"870",6,0.006,"VARIANT PERSONAL NAME (SE) [OBSOLETE]"
"044",5,0.005,"COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE (NR)"
"796",5,0.005,NA
"011",4,0.004,"LINKING LIBRARY OF CONGRESS CONTROL NUMBER (NR) [OBSOLETE]"
"017",4,0.004,"COPYRIGHT OR LEGAL DEPOSIT NUMBER (R)"
"264",4,0.004,"PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE (R)"
"400",4,0.004,"SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]"
"524",4,0.004,"PREFERRED CITATION OF DESCRIBED MATERIALS NOTE (R)"
"563",4,0.004,"BINDING INFORMATION (R)"
"871",4,0.004,"VARIANT CORPORATE NAME (SE) [OBSOLETE]"
"SID",4,0.004,NA
"411",3,0.003,"SERIES STATEMENT/ADDED ENTRY--MEETING NAME (R) [US-LOCAL]"
"511",3,0.003,"PARTICIPANT OR PERFORMER NOTE (R)"
"518",3,0.003,"DATE/TIME AND PLACE OF AN EVENT NOTE (R)"
"539",3,0.003,NA
"591",3,0.003,NA
"800",3,0.003,"SERIES ADDED ENTRY--PERSONAL NAME (R)"
"890",3,0.003,NA
"BPF",3,0.003,NA
"031",2,0.002,"MUSICAL INCIPITS INFORMATION (R)"
"522",2,0.002,"GEOGRAPHIC COVERAGE NOTE (R)"
"595",2,0.002,NA
"597",2,0.002,NA
"720",2,0.002,"ADDED ENTRY--UNCONTROLLED NAME (R)"
"767",2,0.002,"TRANSLATION ENTRY (R)"
"774",2,0.002,"CONSTITUENT UNIT ENTRY (R)"
"859",2,0.002,NA
"886",2,0.002,"FOREIGN MARC INFORMATION FIELD (R)"
"033",1,0.001,"DATE/TIME AND PLACE OF AN EVENT (R)"
"091",1,0.001,"MICROFILM SHELF LOCATION (AM) [OBSOLETE]"
"105",1,0.001,NA
"131",1,0.001,NA
"243",1,0.001,"COLLECTIVE UNIFORM TITLE (NR)"
"318",1,0.001,NA
"330",1,0.001,NA
"360",1,0.001,NA
"365",1,0.001,"TRADE PRICE (R)"
"450",1,0.001,NA
"516",1,0.001,"TYPE OF COMPUTER FILE OR DATA NOTE (R)"
"545",1,0.001,"BIOGRAPHICAL OR HISTORICAL DATA (R)"
"562",1,0.001,"COPY AND VERSION IDENTIFICATION NOTE (R)"
"585",1,0.001,"EXHIBITIONS NOTE (R)"
"792",1,0.001,NA
"811",1,0.001,"SERIES ADDED ENTRY--MEETING NAME (R)"
"853",1,0.001,"CAPTIONS AND PATTERN--BASIC BIBLIOGRAPHIC UNIT (R)"
"865",1,0.001,"ENUMERATION AND CHRONOLOGY--INDEXES (R)"
